
angle:75.234   ,   distance:3950
angle:75.516   ,   distance:3973
angle:75.797   ,   distance:3987
angle:76.078   ,   distance:4028
angle:76.359   ,   distance:4007
angle:76.641   ,   distance:3998
angle:76.922   ,   distance:3999
angle:77.219   ,   distance:3971
angle:77.5   ,   distance:3966
angle:77.781   ,   distance:3947
angle:78.063   ,   distance:3941
angle:78.344   ,   distance:3932
angle:78.625   ,   distance:3917
angle:78.906   ,   distance:3907
angle:79.188   ,   distance:3894
angle:79.469   ,   distance:3883
angle:79.75   ,   distance:3883
angle:80.047   ,   distance:3870
angle:80.328   ,   distance:3862
angle:80.609   ,   distance:0
angle:80.625   ,   distance:3821
angle:81.219   ,   distance:3465
angle:81.5   ,   distance:3468
angle:81.781   ,   distance:3474
angle:82.063   ,   distance:3466
angle:82.344   ,   distance:3473
angle:82.625   ,   distance:3481
angle:82.922   ,   distance:3485
angle:83.172   ,   distance:3503
angle:83.453   ,   distance:3509
angle:83.719   ,   distance:0
angle:83.734   ,   distance:3516
angle:84   ,   distance:0
angle:84.281   ,   distance:0
angle:84.891   ,   distance:3339
angle:85.156   ,   distance:3378
angle:85.438   ,   distance:3415
angle:85.719   ,   distance:3453
angle:86   ,   distance:3460
angle:86.281   ,   distance:3459
angle:86.547   ,   distance:3449
angle:86.828   ,   distance:3437
angle:87.109   ,   distance:3439
angle:87.391   ,   distance:3428
angle:87.672   ,   distance:3425
angle:87.953   ,   distance:3413
angle:88.234   ,   distance:3410
angle:88.516   ,   distance:3405
angle:88.797   ,   distance:3405
angle:89.078   ,   distance:3398
angle:89.359   ,   distance:3394
angle:89.641   ,   distance:3388
angle:89.922   ,   distance:3382
angle:90.188   ,   distance:3376
angle:90.469   ,   distance:3373
angle:90.75   ,   distance:3369
angle:91.031   ,   distance:3367
angle:91.313   ,   distance:3356
angle:91.609   ,   distance:3352
angle:91.891   ,   distance:3347
angle:92.172   ,   distance:3345
angle:92.453   ,   distance:3339
angle:92.734   ,   distance:3333
angle:93.016   ,   distance:3335
angle:93.297   ,   distance:3327
angle:93.578   ,   distance:3324
angle:93.844   ,   distance:3324
angle:94.156   ,   distance:3317
angle:94.422   ,   distance:3317
angle:94.703   ,   distance:3312
angle:94.984   ,   distance:3306
angle:95.266   ,   distance:3302
angle:95.547   ,   distance:3302
angle:95.828   ,   distance:3299
angle:96.109   ,   distance:3288
angle:96.375   ,   distance:3287
angle:96.656   ,   distance:3287
angle:96.938   ,   distance:3283
angle:97.219   ,   distance:3284
angle:97.5   ,   distance:3279
angle:97.781   ,   distance:3275
angle:98.063   ,   distance:3271
angle:98.344   ,   distance:3263
angle:98.609   ,   distance:3265
angle:98.891   ,   distance:3262
angle:99.172   ,   distance:3259
angle:99.453   ,   distance:3257
angle:99.734   ,   distance:3254
angle:100.02   ,   distance:3256
angle:100.3   ,   distance:3251
angle:100.58   ,   distance:3256
angle:100.84   ,   distance:3252
angle:101.13   ,   distance:3250
angle:101.41   ,   distance:3247
angle:101.69   ,   distance:3243
angle:101.97   ,   distance:3245
angle:102.25   ,   distance:3244
angle:102.53   ,   distance:3242
angle:102.81   ,   distance:3244
angle:103.08   ,   distance:3237
angle:103.36   ,   distance:3242
angle:103.64   ,   distance:3239
angle:103.92   ,   distance:3236
angle:104.2   ,   distance:3236
angle:104.48   ,   distance:3239
angle:104.77   ,   distance:3235
angle:105.05   ,   distance:3237
angle:105.33   ,   distance:3236
angle:105.59   ,   distance:3235
angle:105.88   ,   distance:3234
angle:106.16   ,   distance:3230
angle:106.44   ,   distance:3233
angle:106.72   ,   distance:3229
angle:107   ,   distance:3236
angle:107.28   ,   distance:3234
angle:107.56   ,   distance:3233
angle:107.84   ,   distance:3232
angle:108.13   ,   distance:3231
angle:108.41   ,   distance:3236
angle:108.69   ,   distance:3236
angle:108.97   ,   distance:3234
angle:109.25   ,   distance:3236
angle:109.53   ,   distance:3233
angle:109.81   ,   distance:3228
angle:110.09   ,   distance:3233
